,Year,Week,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,Cleared Volume,MCV
0,2020,1,16911.93,33756.53,48253.47,51912.76,34120.12,48682.29,0.0,118862.33,8394.66,604.8,164894.79,70374.62,185102.58,781869.95,788121.16
1,2020,2,16678.16,35520.72,68177.88,57986.37,42388.81,75084.86,0.0,148760.74,19815.62,650.2,257190.84,87611.24,304985.01,1114849.33,1129493.91
2,2020,3,18848.19,23953.29,74396.13,39749.67,50518.35,90128.99,0.0,147718.97,22392.94,832.8,209441.27,90702.62,245815.56,1014497.72,1014497.72
3,2020,4,13864.97,30214.57,66323.83,74711.48,44585.04,156190.36,0.0,162732.93,32756.68,750.6,181776.78,133732.89,159148.69,1056787.47,1056787.45
4,2020,5,19588.03,27242.09,47763.37,83659.99,60050.33,154508.37,0.0,161117.18,26246.31,695.61,198066.16,132061.48,202806.64,1113804.41,1116246.21
5,2020,6,23137.29,29037.15,36828.86,99035.45,49004.01,86881.03,0.0,132990.61,19644.22,768.1,167439.49,161971.73,181720.33,988456.86,988456.89
6,2020,7,19602.25,27223.25,52706.9,116790.61,59939.3,99885.67,0.0,141880.63,41356.11,798.75,124309.12,176259.16,163002.57,1023752.92,1023752.92
7,2020,8,12535.4,21326.49,70729.31,135431.1,69683.31,135681.2,0.0,98390.99,55467.69,840.0,79079.01,204987.12,210107.71,1094257.93,1094257.97
8,2020,9,9756.75,24509.75,87406.57,79978.46,55055.4,123634.78,0.0,60436.27,20068.25,385.68,101327.69,163871.53,280885.38,1007315.19,1009346.54
9,2020,10,4772.5,24151.25,145612.54,100380.02,46381.5,147151.23,0.0,37988.39,13020.92,816.55,77309.38,86852.98,305118.11,989554.12,998863.79
10,2020,11,6063.06,35060.17,133202.65,81468.63,50527.2,188133.58,0.0,22263.02,4540.43,661.63,68509.15,27958.93,241532.83,859919.98,859919.98
11,2020,12,8527.5,30752.89,149845.58,128873.88,55808.48,181558.02,0.0,67341.79,9365.35,807.5,38243.56,69610.46,331165.89,1071899.56,1075497.37
12,2020,13,7968.0,30031.99,103987.65,83824.59,118529.45,145817.55,0.0,11881.08,4574.72,152.5,18674.03,99219.2,88715.72,713375.2,713992.67
13,2020,14,6827.8,36357.3,95003.35,67816.82,133192.3,248715.36,0.0,14745.91,9726.56,0.0,12893.53,176625.62,67715.28,869618.35,869618.35
14,2020,15,13059.37,58333.24,93226.41,71239.64,95367.77,185056.92,0.0,12499.0,9083.61,508.8,17368.77,108422.76,85711.45,749876.32,749876.3
15,2020,16,11478.0,56905.5,83342.35,109767.24,152517.71,172986.92,0.0,13859.95,14576.85,235.33,17985.72,157024.08,93144.49,883822.43,883822.43
16,2020,17,11432.77,63851.0,114625.9,220680.76,142369.17,153496.02,0.0,13168.63,8857.33,814.61,24651.62,65418.25,78676.44,898041.18,898041.19
17,2020,18,9960.73,42945.88,109739.45,246511.85,212285.34,154617.79,0.0,18513.24,9037.67,621.6,37305.44,32864.67,110174.2,984576.26,984576.23
18,2020,19,7067.62,28240.31,148583.47,310509.07,200330.89,172011.08,0.0,25104.65,20575.68,782.02,61098.6,74443.64,237184.78,1285930.39,1285930.37
19,2020,20,1553.75,24554.27,106150.15,236763.1,192689.02,110730.55,0.0,61846.94,15684.31,942.63,158137.07,108404.84,293055.43,1310510.68,1310510.69
20,2020,21,3844.47,51750.52,217161.31,146649.66,190843.6,40380.68,0.0,95735.01,16358.96,1537.12,146867.27,87355.75,203723.7,1202206.39,1202206.37
21,2020,22,9966.18,85562.57,227151.92,86790.42,255188.36,51393.86,0.0,107538.01,12655.96,1004.75,162345.55,101386.34,202260.01,1303242.3,1309063.89
