Date,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,Cleared Volume,MCV
01-01-2021,605.02,1726.52,5337.17,468.38,21401.74,24508.57,2400,60931.2,9387.48,540.8,3249.3,35848.57,6105,172509.52,172509.52
02-01-2021,196.68,1564.11,5396.61,216,26037.07,28410.74,,57619.45,13055.97,483.6,2261.28,40121.49,6360,181722.8,181722.8
03-01-2021,236.21,1798.7,4397.97,411.94,26628.81,27061.66,,51113.54,13176.51,697.16,2672.5,46251.51,2715,177161.26,177161.26
04-01-2021,127.75,2009.93,4667.26,372.25,28270.3,15970.95,,53456.41,15575.81,755.58,2702.25,59565.27,2225,185698.56,185698.56
05-01-2021,165.57,1833.25,4636.69,292.7,22619.43,22700.87,,64673.62,15496.28,677.17,2643.65,52591.89,1875,190205.91,190205.9
06-01-2021,,1758.98,4918.16,303.15,18689.1,15892.08,,67701.03,16764.83,757.58,2664.8,60516.66,1460,191426.1,191426.12
07-01-2021,,1956.39,3319.75,272.08,11403.88,19510.81,,58534.32,18097.47,873.03,2713.75,54902.08,1335,172918.31,172918.31
08-01-2021,,2003.28,1189.55,489.97,17361.96,20306.05,,36768.85,18125.68,1129.17,2657.9,62134.91,3460,165627.1,165627.11
09-01-2021,,1948.73,1330.3,342.85,17969.09,19309.3,450,42600.09,16640.33,964.65,3122.1,71975.66,2725,179377.9,179377.9
10-01-2021,,1773.43,1059.93,499.45,13591.68,15884.71,347.07,54467.32,15657.61,951.65,2713.6,64229.36,2255,173430.57,173430.56
11-01-2021,,1432.9,1749.68,360.2,17786.29,29353.04,,48089.83,13976.82,534.23,3421.1,46563.79,6202.5,169470.1,169470.1
12-01-2021,,2024.68,3116.7,321.35,18693.85,29258.99,2400,46010.82,16740.77,648.86,3743.9,55868.74,3765,182593.47,182593.47
13-01-2021,,1866.16,1360.74,340.28,24137.61,37286.88,3600,36873.66,14915.14,649.02,3580.1,53181.21,3340,181130.57,181130.57
14-01-2021,,1628.57,3669.86,446.15,27169.45,33672.52,4850,40856.18,11328.9,820.15,3225.05,33058.87,3320,164045.45,164045.44
15-01-2021,,1547.45,3443.5,410.27,25288.87,36333.47,3600,28243.51,10638.95,741.56,3263.3,40096.49,3140,156747.22,156747.22
16-01-2021,,1581.23,3109.43,497.73,26312.62,29289.53,2625,34420.14,13727.92,812.75,3272.55,41557.57,1905,159111.25,159111.25
17-01-2021,,1229.46,4814.84,558.85,26481.55,31575.45,,35500.97,15138.07,871.01,3228.3,44246.08,2100,165744.37,165744.37
18-01-2021,,2672.47,8840.26,353.38,23281.69,25733.52,1400,31043.23,12816.15,459.45,3253.55,54530.26,2690,167073.84,167073.83
19-01-2021,,1765.77,3353.09,429.87,27697.25,35238.41,250,52286.85,12663.27,375.28,3283.35,41636.07,4440,183419.03,183419.03
20-01-2021,,1640.52,3662.15,1608.04,21438.96,33886.11,700,58618.09,11370.88,717.83,3280.85,53263.72,3635.31,193822.23,193822.23
21-01-2021,,2225.23,3933.23,418.05,20045.37,34697.1,1000,57165.05,12389.57,1292.36,3292.9,52447.39,8840,197746.03,197746.03
22-01-2021,,1835.47,4723.53,401.15,22000.25,28688.72,2550,63779.14,13012.59,2398.22,3259.65,49035.98,7345,199029.54,199029.54
23-01-2021,,1575.03,3862.86,322.83,20452.09,24193.2,750,76902.73,13350.08,4275.45,3246.9,41820.46,8227.49,198978.91,198978.91
24-01-2021,,1518.54,3475.45,432.85,19823.49,32389.28,4100,64147.95,14946.41,1600.98,3284.2,36158.52,4585,186462.42,186462.42
25-01-2021,,1795.5,3902.7,246.86,22961.72,38246.82,5850,49459.94,12032.53,6948.61,3939.65,43886.66,1910,191180.76,191180.76
26-01-2021,,2209.79,4669.98,352.6,18834.94,31336.82,1900,47088.36,14319,7797.2,3155.85,25677.77,1145,158487.07,158487.07
27-01-2021,,1891.01,3976.39,265.05,20274.85,32333.37,10850,45216.55,14274.96,7454.75,2618.95,34105.74,7655,180916.42,180916.42
28-01-2021,,2027.49,4555.65,403.61,23224.65,29242.27,13250,61257.08,14208.77,6280.41,3103.25,29064.69,7680,194297.72,194297.72
29-01-2021,,2300.62,6736.56,419.62,23491.52,36660.22,14450,62237.71,16907.74,572.64,3387.1,28281.36,2292.5,197737.36,197737.36
30-01-2021,,2088.49,6949.25,455.3,19769.77,31001.1,3850,65618.99,18735.04,1224.77,2840.1,31044.38,5760,189336.96,189336.96
31-01-2021,,1846.02,5489.01,371.3,18978.72,29240.06,9600,59579.97,13329.31,765.51,3446.35,30060.26,3950,176656.27,176656.27
01-02-2021,,1306.23,5352.45,357.49,20385.92,28756.05,2400,53053.89,9803.95,308.58,3406.05,43269.35,2505.61,170905.33,170905.31
02-02-2021,,1322.66,6677.99,539.45,20969.28,31564.89,5400,47628.01,12496.14,346.33,3173.05,46166.8,1965,178249.39,178249.39
03-02-2021,,1754.49,6310.17,520.25,19282.62,29032.59,5400,35532.38,13679.19,504.41,3917.85,57798.32,3472.5,177204.58,177204.59
04-02-2021,,1720.93,3645.46,487.15,17886.89,26229.54,4400,36945.27,17205.44,517.91,3194.43,70109.8,3820,186162.59,186162.59
05-02-2021,,1852.45,4272.09,516.65,20905.94,27873.41,1400,40870.88,19179.57,540.3,3091.83,52606.56,2975,176084.44,176084.44
06-02-2021,,1920.25,6206.88,558.09,19868.05,30214.26,2900,53330.56,19098.47,572.71,3021.53,47464.86,905,186060.43,186060.44
07-02-2021,,1779.12,3832.93,638.32,18996.75,36218.25,5875,36983.29,15943.39,765.73,3237.63,35933.43,1600,161803.61,161803.62
08-02-2021,,1759.53,2916.9,429.35,20212.32,34521.98,5075,42636.22,14843.65,1118.48,3077.95,54247.79,1392.5,182231.47,182231.47
09-02-2021,,1817.39,4610.46,439.82,17726.06,23472.13,5875,44071.31,19882.27,727.72,3293.25,57206,6465,185586.19,185586.19
10-02-2021,,1929.18,4729.22,1554.53,22850.87,25688.8,4875,55935.31,23205.49,657.29,3308.7,54273.9,7400,206407.99,206407.99
11-02-2021,,2069.32,4269.55,494.46,21808.18,23907.94,4875,52086.15,19531.03,659.36,2133.98,65740.08,7410,204984.84,204984.84
12-02-2021,,2193.59,5152.15,496.61,22343.86,20044.36,5075,50965.47,17859.74,693.82,2055.43,64638.18,7200,198717.99,198717.99
13-02-2021,,1821.38,3419.9,476.34,17646.07,19236.77,5525,46492.7,20472.65,664.72,2059.98,66711.6,6630,191156.89,191156.9
14-02-2021,,1689.58,1165.41,861.72,20096.13,20038.21,2250,45708.18,14937.85,880.82,2047.18,63781.82,7180,180636.64,180636.64
15-02-2021,,1735.8,919.69,505.14,22128.21,18169.95,1800,56500.87,15288.2,667.95,2018.08,62954.94,9485,192173.58,192173.58
16-02-2021,,1809.08,2017.34,446.59,21405.6,20156.68,2000,51726.4,14540.22,715.88,2078.93,68957.2,3060,188913.71,188913.71
17-02-2021,,2094.09,926.14,509.07,21095.28,18882.62,4650,49234.29,17369.75,1099.59,2082.13,51159.08,545,169646.79,169646.79
18-02-2021,,1766.79,585.99,469.61,21843.19,16678.12,4600,55629.15,17476.59,1289.1,2016.33,59768.15,,182122.77,182122.77
19-02-2021,,1458.93,741.58,427.95,21422.33,16861.18,5800,50316.34,16210.34,1020.42,2055.3,55239.01,,171553.19,171553.19
20-02-2021,,1606.19,3292.04,373,19249.18,13109.07,4100,62309.75,14875.07,574.75,2027.33,59321.11,,180837.27,180837.27
21-02-2021,,1506.01,2054.43,677.08,15148.22,17387.8,5150,41245.68,15220,875.21,2091.68,50337.9,1285,152978.73,152978.72
22-02-2021,,1821.81,2528.14,600.43,18631.72,22755.31,3650,44247.92,17279.4,566.67,2048.38,43573.45,2225,159928.04,159928.04
23-02-2021,,1470.16,4082.46,444.77,20907.13,19421.66,3800,42918.71,16707.6,628.28,2194.05,66154.7,1030,179759.27,179759.28
24-02-2021,,1246.69,3190.62,424.97,21045.26,15382.76,700,58204.23,13860.6,349.61,2370.9,83483.99,1027.5,201286.94,201286.94
25-02-2021,,1616.56,1684.2,460.99,21781.83,10236.16,,66923.26,10843.03,295.85,2419.4,70822.72,2793.88,189877.66,189877.66
26-02-2021,,1725.28,3106.57,764.25,18214.55,12991.18,350,64765.59,12081.25,363.17,2428.35,65266.65,5300,187356.59,187356.59
27-02-2021,,1063.3,1914.28,271,21009.78,11297.86,,66611.44,10085.24,701.61,2385.9,72128.49,4725,192193.75,192193.75
28-02-2021,,866.93,2133.56,318.37,11537.97,13439.3,1900,70196.17,12347.25,626.41,2486.45,70505.21,3005,189362.46,189362.48
01-03-2021,,671.15,1846.44,272.04,21400.1,18335.71,1800,63227.98,9221.52,307.89,2568.04,65707.98,530,185888.61,186429.6
02-03-2021,,1330.76,2470.85,267.12,24258.39,18164.65,1800,68957.62,10489.16,492.64,2642,58488.52,1680,191041.5,192358.73
03-03-2021,,1464.73,1016.12,269.85,20435.53,18708.59,2700,72924.03,10156.69,512.9,2645.75,52062.52,1240,184136.5,187074.19
04-03-2021,,1060.72,996.27,286.12,18011.6,22951.03,1700,69651.7,10049.53,576.72,2687.9,61490.92,5680,195142.31,197380.93
05-03-2021,,908.24,1146.38,273.47,21560.31,28438.98,400,68148.32,10022.05,482.55,2640.9,71457.54,4385,209863.51,201751.79
06-03-2021,,588.21,3074.67,187.75,19542.42,19254.41,1400,69023.5,10044.98,324.55,2654.28,71164.96,2380,199639.55,199639.55
07-03-2021,,798.53,3821.69,1186.62,10039.14,19654.5,,69192.7,9912.08,408.9,2606.25,74446.96,2150,194217.19,194217.19
08-03-2021,,516.67,2860.94,3572.5,12884.38,24852.68,,62908.25,12509.35,189.08,2538.6,56482,1825,181139.3,181139.28
09-03-2021,,678.53,2005.26,189.23,13367.02,30673.12,,68783.22,11613.73,249.2,2503.45,66740.99,725,197528.51,197528.5
10-03-2021,,788.62,1882.68,100.04,16841.5,25459.2,,92367.88,7915.55,295.39,2511.3,63660.63,475,212297.6,212297.6
11-03-2021,,699.17,2774.58,145.94,18138.53,22930.37,,80724.09,11838.99,275.63,2517.8,65966.45,2440,208451.39,209369.12
12-03-2021,,577.94,2560.4,43.25,15141.59,20589.89,,97651.63,6073.59,89.58,2504.55,73989.68,730,219951.95,219246.67
13-03-2021,,805.59,2264.46,45,17554.05,18035.08,,80388.34,11559.39,357.95,2478.05,91609.92,,225097.71,225649.52
14-03-2021,,1182.73,2405.31,454.72,11637.82,15086.91,,77240.91,15897.2,1049.02,2529.95,77416.18,,204900.59,204900.59
15-03-2021,,882.44,1893.21,192.97,23592.34,24936.88,,80831.97,12681.99,555.49,2600.15,72889.33,,221056.59,221325.73
16-03-2021,,1098.65,2134.44,157.01,21215.1,23780.2,700,68353.6,12215.17,309.02,2669.3,77184.88,,209817.18,209863.01
17-03-2021,,1514.91,2718.27,1131.5,17724.1,17040.73,,71255.27,11256.35,350.72,2631.9,74692.32,,200315.93,200315.93
18-03-2021,,1789.81,2872.11,2798.5,16519.05,23862.08,,72879.44,7260.9,189.48,2664.7,88764.82,,219600.77,219600.77
19-03-2021,,2365.39,4344.66,335.75,28842.85,25837.09,1200,72648.22,4677.97,443.37,2661.45,83863.1,,227219.71,227219.73
20-03-2021,,2617.98,3803.04,147,26455.03,17708.22,,81436.3,4169.12,467.56,2624.2,75125.68,,214554.03,214008.86
21-03-2021,,2739.03,4273.38,1056.21,13633.6,17710.51,4000,90184.5,12641.24,582.1,2609.2,53669.26,,203098.93,204020.31
22-03-2021,,4172.25,7263.95,503.38,9126.03,23373.9,1750,76910.76,16847.61,417.32,2572.55,72054.17,,214991.73,215928.85
23-03-2021,11.25,2774.59,5669.93,1033.94,8357.63,18197.94,1600,83747.22,17697.36,776.24,2322.8,78465.14,,220653.82,221853.43
24-03-2021,12.5,3099.78,14659.13,4763.1,7049.77,15243.58,,87155.11,30939.64,415.76,2242.8,85433.55,,251014.53,256287.47
25-03-2021,25,3055.67,15649.39,5544.25,6593.27,14460.93,,83686.2,24436.47,208.35,2221.75,84150.25,,240031.39,242346.39
26-03-2021,20,3190.09,14601.86,1388.25,7932.75,22462.19,,86934.34,32427.33,344.79,3322.3,55051.41,,227675.16,232549.71
27-03-2021,7.5,5303.78,7226.95,926.5,8038.54,17003.01,,92152.8,22164.42,58.78,2959.2,61220.44,,217061.76,218207.79
28-03-2021,57.5,5397.03,4100.28,2565,9644.41,23289.57,2800,98458.42,20557.76,811.3,2196.95,67701.87,,237579.91,236188.56
29-03-2021,57.5,4784.29,5072.1,2753.48,6705.2,14666.17,,108117.61,26919.61,2048.19,2229.7,20880.96,,194234.71,200783.3
30-03-2021,27.5,2879.51,8859.26,595.51,6019.84,16651.59,5350,114379.7,17026.58,656.33,2197.08,44717.85,,219360.52,219840.12
31-03-2021,57.5,1851.33,4975.4,2919.75,7510.61,23298.12,,112250.5,13136.97,750.91,2214.8,52415.48,,221381.24,223957.67
01-04-2021,52.9,1497.36,5338,1638.52,11015.04,22308.71,,88153.92,10526.52,487.38,2353.86,44444.79,,187816.83,187816.83
02-04-2021,56.25,1913.27,21986.8,1095.33,8920.33,21299.99,,95481.34,10090.33,298.9,2506.3,44027.13,,207675.78,215453.38
03-04-2021,62.5,2347.53,14771.78,2697.2,10711.39,21157.54,,110628.73,9592.4,401.45,2461.4,40939.49,,215771.3,217320.24
04-04-2021,79.93,2490.44,16974.35,3781.14,11069.64,15309.3,,112334.09,8563.82,489.26,2493.4,49576.06,,223161.3,225096.45
05-04-2021,620.96,3672.42,22322.11,3741.58,11795.26,14717.07,3300,97882.81,15849.06,902.69,2611.15,60846.37,,238261.33,238261.32
06-04-2021,123.75,2465.03,13571.08,6244.61,11151.38,19391.12,2400,100267.89,8882.38,1190.7,2387.45,52186.33,,220261.53,220261.52
07-04-2021,63.75,3992.73,25342.88,3942.05,12346.53,20743.11,,86718.79,8248.52,484.66,2426.35,54427.11,,218736.31,218736.31
08-04-2021,271.7,7231.65,21225.68,189.75,11358.03,19942.6,,88968.2,6169.1,375.82,2505.1,43448.44,,201685.89,201685.89
09-04-2021,929.03,8267.21,23736.26,10,13796.55,19064.17,,95002.75,14027.14,273.62,2894.48,46790.63,,224791.65,224791.64
10-04-2021,1017.75,7272.75,16372.71,597.46,14588.36,19379.86,2900,82527.79,20170.47,791.9,2552.53,61556.11,,229727.54,229727.55
11-04-2021,595.75,6509.79,12465.1,226.76,11533.1,18281.84,,72276.96,15995.15,565.54,2499.3,63491.96,,204441.11,204441.11
12-04-2021,989.5,7108.38,14617.78,828.25,12268.22,20500.7,,48879.44,22317.78,648.38,2370.55,63712.55,,194241.4,194241.41
13-04-2021,991.5,6865.66,15082.55,250,9823.78,14326.87,,49959.39,21028.43,1000.61,2480.85,67440.22,,189249.67,189249.67
14-04-2021,980.75,5686.4,20782.29,432.92,16614.23,17109.15,2600,40339.29,17841.64,393.17,2522.3,57610.49,,182912.44,182912.42
15-04-2021,942.5,4606.13,14878.6,219,15454.18,20014.94,3300,33766.33,15828.24,487.18,2499.55,66734.18,,178730.66,178730.66
16-04-2021,941,4590.13,21380.19,272.83,15473.11,18910.93,2600,21225.24,20402.28,629.14,2523.3,66322.96,,175270.87,175270.87
17-04-2021,954.5,4804.39,15862.8,140,19984.15,21100.45,2400,28392.51,15133.82,581.94,2640.45,66548.86,,178543.72,178543.72
18-04-2021,665.75,3602.5,9860.22,1021.31,11180.65,13375.24,5300,34490.32,15738.87,952.85,3018.4,66063.71,,165269.65,165269.65
19-04-2021,668.75,5212.02,11817.12,946.97,13645.48,18233.75,2600,55505.09,10397.86,509.53,2508,69206.96,,191251.37,191251.38
20-04-2021,674,4019.38,8574.05,355.76,11329.63,17953.5,2600,65397.08,15143.57,315.93,2755.35,59990.72,,189108.76,189108.76
