Date,Month,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,Cleared Volume,MCV
01-01-2020,1,66303.25,123445.11,257151.31,224360.28,171612.32,370086.5,0,578074.97,83359.9,2838.4,813303.68,382421.37,895051.84,3968004.47,3988900.24
01-02-2020,2,74862.97,104828.98,208028.44,434917.15,238676.95,476956.27,0,534379.41,142714.33,3102.46,568893.78,675279.49,757637.25,4220272.12,4222713.99
01-03-2020,3,37087.81,144506.05,620054.99,474525.58,326302.03,786295.16,0,199910.55,51569.67,2823.86,304063.81,447513.1,1247417.93,4642064.05,4657620.35
01-04-2020,4,42797.94,215447.04,386198.01,469504.46,523446.95,760255.22,0,54273.49,42244.35,1558.74,72899.64,507490.71,325247.66,3401358.28,3401358.27
01-05-2020,5,22426.57,147490.98,581634.38,940433.68,796148.85,477740.1,0,201199.84,61656.62,3883.37,403408.38,303068.9,844138.11,4783223.72,4783223.66
01-06-2020,6,21867.96,293953.79,1161493.23,401552.33,1203822.68,299888.96,0,268069.34,28303.2,7674.06,485591.36,254139.42,721791.57,5148140.5,5153962.08
01-07-2020,7,39022.55,329504.52,1006321.61,307805.8,902638.75,151259.62,2510.39,250225.28,13564.22,3336.04,387093.94,281979.5,346469.37,4021726.89,4021726.89
01-08-2020,8,55156.11,172261.42,992383.85,367431.84,891022.95,145208.2,737.15,315096.81,10591.66,11180.15,340356.88,358900.82,395712.43,4056035.64,4056035.62
01-09-2020,9,45933.21,153102.26,1202780.36,354781.36,841034.6,143843.1,3314.81,515643.56,11953.11,10450.4,702950.63,546906.06,971091.75,5503778.7,5503778.74
01-10-2020,10,25559.1,142017.38,756153.86,408913.65,262221.39,189471.76,0,566425.74,167436.27,46454.84,653162.5,556855,1193498.38,4968163.64,4968163.55
01-11-2020,11,15339.37,148644.02,573144,411881.06,176435.56,356204.88,0,438839.92,174156.62,11938.47,727233.53,330547.2,1294276.12,4658635.87,4660641.77
01-12-2020,12,15897.75,135431.9,986922.52,621454.12,158948.61,800845.2,798.66,403829.8,66090.26,23221.61,713087.63,178125.45,1917476.51,6022125.19,6021945.92
01-01-2021,13,19228.75,105528.77,861321.81,538145.99,114603.65,801351.75,7784.7,337727.75,27941.41,25872.49,542333.67,332426.98,867567.08,4581830.83,4581830.81
01-02-2021,14,31242.58,114508.16,798324.84,836388.33,118477.86,1077973.1,8487.36,434741.45,43155.32,23455.9,599759.45,367886.64,658634.34,5113030.98,5113030.99
