date,holiday,holiday_type,day
01-01-2020,New Year's Day (R),Restricted,Wednesday
02-01-2020,Guru Gobind Singh's Birthday (R),Restricted,Thursday
13-01-2020,Lohri (R),Restricted,Monday
15-01-2020,Makar Sankranti/Pongal (R),Restricted,Wednesday
26-01-2020,Republic Day (G),Gazetted,Sunday
30-01-2020,Basant Panchami / Sri Panchami (R),Restricted,Thursday
09-02-2020,Guru Ravidas's Birthday (R),Restricted,Sunday
18-02-2020,Swami Dayananda Saraswati Jayanti (R),Restricted,Tuesday
19-02-2020,Shivaji Jayanti (R),Restricted,Wednesday
21-02-2020,Maha Shivaratri (R),Restricted,Friday
09-03-2020,Holika Dahan/Dolyatra/Hazarat Ali's Birthday (R),Restricted,Monday
10-03-2020,Holi (G),Gazetted,Tuesday
25-03-2020,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand (R),Restricted,Wednesday
02-04-2020,Ram Navami (G),Gazetted,Thursday
06-04-2020,Mahavir Jayanti (G),Gazetted,Monday
10-04-2020,Good Friday (G),Gazetted,Friday
12-04-2020,Easter Sunday (R),Restricted,Sunday
13-04-2020,Vaisakhi/Vishu (R),Restricted,Monday
14-04-2020,Mesadi/Vaisakhadi (Bengal)/Bahag Bihu (Assam) (R),Restricted,Tuesday
07-05-2020,Buddha Purnima (G),Gazetted,Thursday
08-05-2020,Guru Rabindranath's Birthday (R),Restricted,Friday
22-05-2020,Jamat-Ul-Vida (R),Restricted,Friday
25-05-2020,Id-ul- Fitr (G),Gazetted,Monday
23-06-2020,Rath Yatra (R),Restricted,Tuesday
01-08-2020,Id-ul-Zuha (Bakrid) (G),Gazetted,Saturday
03-08-2020,Raksha Bandhan (R),Restricted,Monday
11-08-2020,Janmashtami (Smarta) (R),Restricted,Tuesday
12-08-2020,Janmashtami (G),Gazetted,Wednesday
15-08-2020,Independence day (G),Gazetted,Saturday
16-08-2020,Parsi New Year's day/ Nauraj (R),Restricted,Sunday
22-08-2020,Vinayaka Chaturthi/Ganesh Chaturthi (R),Restricted,Saturday
30-08-2020,Muharram (G),Gazetted,Sunday
31-08-2020,Onam or Thiru Onam Day (R),Restricted,Monday
02-10-2020,Mahatma Gandhi's Birthday (G),Gazetted,Friday
