time,tavg,tmin,tmax,hmid
01-01-2008,15.9,10.2,24.2,61
02-01-2008,16.4,10,24.9,54
03-01-2008,18.2,12.5,25.9,65
04-01-2008,18.5,12.8,27.1,54
05-01-2008,18.6,12.5,26.4,67
06-01-2008,17.2,11.3,26.6,53
07-01-2008,17.7,11.2,26,68
08-01-2008,17.4,10.6,28.1,62
09-01-2008,18.7,12.1,27.7,65
10-01-2008,20.3,12.9,29.7,66
11-01-2008,20.5,13.4,28.8,54
12-01-2008,19.9,14.1,28.3,59
13-01-2008,18.9,14.6,25.7,43
14-01-2008,17.4,10,25.6,56
15-01-2008,17.7,,,40
16-01-2008,17.8,10.2,27.1,40
17-01-2008,18.2,11.4,26.7,56
18-01-2008,19.9,11.9,27.8,61
19-01-2008,22.8,14.6,29.6,43
20-01-2008,24.7,,30.5,48
21-01-2008,20.4,,,44
22-01-2008,18.8,12.9,25.8,67
23-01-2008,18,13.6,24.6,60
24-01-2008,17.2,13.5,21.6,53
25-01-2008,15.9,15.6,16.7,40
26-01-2008,16.3,15.4,17.6,60
27-01-2008,16.6,14.2,22.7,51
28-01-2008,15.5,,,66
29-01-2008,17.2,10,24.6,69
30-01-2008,17.3,13.6,25.4,67
31-01-2008,14.3,12.6,18.6,60
01-02-2008,15.8,11.6,22.6,54
02-02-2008,15,9.6,22.4,45
03-02-2008,15.9,9.3,23.4,70
04-02-2008,18.7,10.6,25.8,41
05-02-2008,21.3,14.6,27.6,61
06-02-2008,23,18.1,28.6,49
07-02-2008,23.3,18.6,30.1,59
08-02-2008,23.1,17.6,30.4,63
09-02-2008,20.1,,,61
10-02-2008,19.5,,24.4,42
11-02-2008,17.5,,25.4,46
12-02-2008,18.3,11.6,26.6,65
13-02-2008,17.7,,,42
14-02-2008,16.8,,24.5,59
15-02-2008,16.7,9.4,26.5,46
16-02-2008,19.1,11.1,,47
17-02-2008,20.3,12.4,29.6,42
18-02-2008,22.5,13.7,30.4,68
19-02-2008,24,19.6,30.7,51
20-02-2008,19,,,62
21-02-2008,19.7,13.9,26,56
22-02-2008,20.2,14,,50
23-02-2008,22,14.5,29.7,56
24-02-2008,23.5,,31.3,64
25-02-2008,25.1,20.3,32,59
26-02-2008,22.8,,28.3,52
27-02-2008,21.3,17.2,28.8,42
28-02-2008,21.3,14.6,29.5,62
29-02-2008,21.4,14.2,30.2,55
01-03-2008,23.9,,30.4,47
02-03-2008,25,20.1,30.9,54
03-03-2008,26,22,31.6,45
04-03-2008,26,23.6,30.6,55
05-03-2008,26.6,20.6,32.6,61
06-03-2008,26.7,22.6,31.8,59
07-03-2008,26,21.8,31.8,66
08-03-2008,26.8,21.6,33.3,62
09-03-2008,27.3,22.1,34.2,58
10-03-2008,26.5,22.2,33.3,65
11-03-2008,26.9,,34.1,55
12-03-2008,27.2,22.5,34.2,41
13-03-2008,28.3,21.6,34.2,54
14-03-2008,26.6,,30.8,64
15-03-2008,27.6,22.6,34.6,40
16-03-2008,27.4,21,33.7,46
17-03-2008,28.9,23.5,36.2,58
18-03-2008,29.3,23.5,37.3,56
19-03-2008,27.9,24.6,34.3,59
20-03-2008,27.2,21.6,36.2,48
21-03-2008,27.3,21.6,34.4,47
22-03-2008,29.1,24.9,35.5,69
23-03-2008,27,25.4,31.4,67
24-03-2008,26,24,31.6,43
25-03-2008,27.6,21.4,34.3,61
26-03-2008,29.1,24.1,35,60
27-03-2008,29.5,25.6,36,63
28-03-2008,30.3,24.6,38,41
29-03-2008,27.5,,,48
30-03-2008,27.8,20.2,34.6,60
31-03-2008,28.3,22.2,36.4,67
01-04-2008,26.8,21.1,31.8,62
02-04-2008,28.9,21.2,35.1,62
03-04-2008,26.9,,35.3,53
04-04-2008,22.6,19.6,,41
05-04-2008,25.1,20.6,32.6,65
06-04-2008,25.7,20,30.8,50
07-04-2008,26.8,20.7,,63
08-04-2008,28.1,20.6,,60
09-04-2008,28.2,23.6,34.8,51
10-04-2008,29.5,22.4,36.2,60
11-04-2008,30.8,23.3,38.9,57
12-04-2008,31.1,,38.9,70
13-04-2008,28.8,22.2,36.8,42
14-04-2008,28.9,21.6,,68
15-04-2008,29.1,25.5,34.9,51
16-04-2008,29.9,25.7,34.7,51
17-04-2008,30.5,26.7,36.6,59
18-04-2008,30.4,26.6,35.9,43
19-04-2008,31.7,26.7,37.8,66
20-04-2008,32.5,,38.8,67
21-04-2008,32.4,26.3,39.6,53
22-04-2008,32.7,26.3,39.6,66
23-04-2008,31.7,26.6,39.2,58
24-04-2008,30.9,26.2,37,57
25-04-2008,30.7,26.8,36.6,51
26-04-2008,30.4,26,35.6,40
27-04-2008,30,27.2,35,46
28-04-2008,30.4,26.6,34.2,66
29-04-2008,31,,36.8,64
30-04-2008,31.2,26,36.7,47
01-05-2008,31.6,27,37.3,49
02-05-2008,30.7,26.2,37.6,45
03-05-2008,30,24.6,38.2,41
04-05-2008,28.6,23,36,64
05-05-2008,28.2,22.6,36.7,40
06-05-2008,29.3,23.2,34.6,49
07-05-2008,30.8,25.5,36,50
08-05-2008,29.1,23.6,37,66
09-05-2008,31.3,22.6,37,66
10-05-2008,30.7,21,36.6,43
11-05-2008,29.7,20,37.2,45
12-05-2008,29.8,24.6,35.8,43
13-05-2008,29.9,26.6,37,56
14-05-2008,29.4,23.6,37.3,40
15-05-2008,30.2,22.8,36.3,66
16-05-2008,31.5,25.6,37.5,40
17-05-2008,30.3,,39,69
18-05-2008,29.3,22.6,37.7,70
19-05-2008,28.9,23.6,35.5,59
20-05-2008,28,23.2,34.4,62
21-05-2008,29.4,23.1,36.6,56
22-05-2008,29.9,,37.1,69
23-05-2008,29.2,24.2,34.2,62
24-05-2008,27.5,,34.9,49
25-05-2008,26.8,,34.8,59
26-05-2008,27.9,24.6,35.3,54
27-05-2008,30.4,24.2,36.6,48
28-05-2008,32.4,25.7,38.8,46
29-05-2008,32.1,28,37.6,48
30-05-2008,31.3,26.6,,54
31-05-2008,31.4,25.6,,40
01-06-2008,31.7,27.2,36.8,64
02-06-2008,29.2,24.6,37.8,70
03-06-2008,29.8,23.6,35.1,41
04-06-2008,30.8,,,60
05-06-2008,24.8,21.7,,49
06-06-2008,28.4,23.9,34.8,70
07-06-2008,28,25.6,33.4,43
08-06-2008,29.2,24.9,34.3,54
09-06-2008,29,25.6,33.4,50
10-06-2008,27.7,24.7,31.3,49
11-06-2008,29.6,26,34,40
12-06-2008,30.7,26.5,34.9,44
13-06-2008,30.9,27,36,41
14-06-2008,28.8,27.2,33.4,57
15-06-2008,28.5,25.6,34.3,49
16-06-2008,28.3,24.8,31.8,62
17-06-2008,24.5,,26.3,47
18-06-2008,25.8,22.6,28,64
19-06-2008,26.7,22.4,29,41
20-06-2008,28.2,,32,50
21-06-2008,28.5,23.6,33.3,59
22-06-2008,29.3,26.1,33.2,47
23-06-2008,29.3,26.5,32.4,52
24-06-2008,29.6,,,65
25-06-2008,29.3,25.9,34.5,48
26-06-2008,29.6,26,34.3,57
27-06-2008,29.2,25.6,33.6,61
28-06-2008,29.5,26.1,34.6,42
29-06-2008,27.5,,31.6,46
30-06-2008,26.7,24.9,28.6,59
01-07-2008,28.3,24.8,31.6,66
02-07-2008,30.3,25.1,,54
03-07-2008,29.3,,34.6,42
04-07-2008,28.4,25.6,31.9,62
05-07-2008,28,25.6,32.6,46
06-07-2008,27.4,25.6,29.8,48
07-07-2008,28.5,25.6,33.1,58
08-07-2008,26.6,25.3,28.7,60
09-07-2008,27.6,25.1,30.8,56
10-07-2008,29.4,25.6,33.7,47
11-07-2008,29.7,26.5,34,40
12-07-2008,28.4,26.6,32.9,67
13-07-2008,27.5,23.5,32.4,48
14-07-2008,26.9,24.2,31.3,62
15-07-2008,26.5,24.5,31,63
16-07-2008,26.8,25.6,29.8,58
17-07-2008,27.7,24.6,34,41
18-07-2008,27.9,24.6,30.9,49
19-07-2008,27.4,25.5,32,50
20-07-2008,29.2,25.5,33.4,41
21-07-2008,30.2,26,34,44
22-07-2008,30.3,26.6,33.6,70
23-07-2008,29.3,27.1,35.3,50
24-07-2008,28.7,26.3,32.2,62
25-07-2008,28.4,26.2,33.3,46
26-07-2008,30.7,26.6,34.6,47
27-07-2008,29.8,25.6,33.8,66
28-07-2008,27.8,25.8,31.4,50
29-07-2008,28.5,25.6,33.2,46
30-07-2008,28.3,26.6,32.2,59
31-07-2008,28.5,25.6,33,70
01-08-2008,28.8,25.6,33.2,47
02-08-2008,29.8,26,34.2,63
03-08-2008,29.1,26,33.4,46
04-08-2008,28.7,26,33.4,61
05-08-2008,29.1,25.6,33.4,45
06-08-2008,29,25.9,33.8,42
07-08-2008,29.6,26.6,33.9,56
08-08-2008,28.8,,35,44
09-08-2008,29,,33.4,47
10-08-2008,28.8,26.2,32.3,54
11-08-2008,28,25.8,31.4,47
12-08-2008,28.2,26,32.3,57
13-08-2008,26.6,25.4,31.1,55
14-08-2008,27.4,25.2,32,57
15-08-2008,27.8,25.6,32.6,50
16-08-2008,27.4,26.6,31.8,57
17-08-2008,28.4,25.6,32.2,44
18-08-2008,29,26.6,32.8,41
19-08-2008,26.3,,30.3,65
20-08-2008,27.3,24.6,30.9,47
21-08-2008,28.5,25,31.8,44
22-08-2008,28.9,25.6,32.9,49
23-08-2008,29.2,25.4,33.7,49
24-08-2008,29.2,25.8,34.6,69
25-08-2008,29.2,26,33.7,69
26-08-2008,28.9,25.9,32.3,52
27-08-2008,28.7,24.6,34.8,48
28-08-2008,29.4,24.1,33.2,41
29-08-2008,25.8,23.2,32.7,42
30-08-2008,28.8,23.1,33.3,44
31-08-2008,30.3,,,63
01-09-2008,29,26.1,34.1,54
02-09-2008,28.5,26,33.5,45
03-09-2008,29.3,26.2,33.9,61
04-09-2008,28.8,,34.3,70
05-09-2008,27.4,25.4,32.5,70
06-09-2008,27.7,24.2,33.2,49
07-09-2008,29.1,24.7,34.1,67
08-09-2008,29,25.9,,52
09-09-2008,28.6,25.2,33.2,68
10-09-2008,28.4,25.3,33.7,50
11-09-2008,28.7,25.4,34.3,45
12-09-2008,30.4,25.2,,70
13-09-2008,28.7,25.2,34.7,50
14-09-2008,29.3,25,33.3,68
15-09-2008,29.1,25.1,34.7,46
16-09-2008,26.7,22.6,29.7,59
17-09-2008,27.5,24.4,31.1,60
18-09-2008,27.6,25.3,32.1,68
19-09-2008,28.4,25.1,32.1,70
20-09-2008,28.4,25.4,34.9,46
21-09-2008,29.5,24.8,34.5,41
22-09-2008,27.1,25.6,32.3,44
23-09-2008,27.3,24.6,31.8,54
24-09-2008,28.7,23,,67
25-09-2008,26.8,,,54
26-09-2008,26.6,24.2,29.3,61
27-09-2008,25.6,22.2,27.6,59
28-09-2008,26.8,21.8,28.3,46
29-09-2008,28.4,24.8,33.9,43
30-09-2008,28.7,24.4,33.3,63
01-10-2008,29.3,,34.2,62
02-10-2008,28.3,,32.3,55
