Condition,y9,yhat9,y10,y10,yhat10,yhat11,yhat12,,,,,,
Temperature,,,,,,,,,,,,,
delhi,255086.8,255086.8,247477.9063,,,,,,,,150460.35,207079.31,188619
laknow,,,,,,,,,,,100759.7,202922.34,200675.31
Rajasthan,,,,,,,,,,,213987.46,237040.97,233411.28
"delhi, laknow, Rajasthan",,,,,,,,,,,236690.9,262760.94,248589.38
,,,,,,,,,,,244258.45,285262.22,272137.94
,,,,,,,,,,,330786.82,326496.97,313676.53
,,,,,,,,,,,255086.8,326020.3,319819.66
,,,,,,,,,,,266461.52,327519.62,316903.7
,,,,,,,,,,,361735.72,309800.66,319058.88
109,255086.8,247477.9063,250115.8438,254895.2813,253575.1563,,,,,,403293.83,,327460.88
110,266461.52,NaN,248293.1875,251109.5938,254362.625,,,,,,,,
111,361735.72,NaN,NaN,260012.1875,261966.4375,,,,,,,,
112,403293.83,NaN,NaN,NaN,271966.5313,,,,,,,,
